*tech,year,sc_point_gid,capacity
upv_2,2010,52863,0.4
upv_1,2010,100277,9.0
upv_2,2010,100371,3.0
upv_4,2010,102071,1.2
upv_1,2010,102418,0.9
upv_4,2010,103446,0.9
upv_4,2010,104125,1.4
upv_4,2010,105495,0.9
upv_4,2010,105496,2.0
upv_4,2010,105504,3.0
upv_4,2010,106864,0.9
upv_4,2010,106865,1.0
upv_4,2010,106873,1.0
upv_2,2010,107897,2.3
upv_4,2010,110291,0.7
upv_4,2010,110975,1.1
upv_4,2010,111098,1.9
upv_4,2010,111099,1.5
upv_3,2010,111758,0.4
upv_4,2010,112441,0.9
upv_4,2010,114398,1.0
upv_4,2010,117132,1.0
upv_4,2010,117823,0.5
upv_4,2010,118507,0.5
upv_4,2010,119988,1.5
upv_4,2010,120561,0.5
upv_4,2010,121246,0.5
upv_5,2010,126061,1.56
upv_4,2010,126136,0.1
upv_5,2010,126743,5.28
upv_5,2010,126819,5.4
upv_5,2010,127426,3.16
upv_5,2010,128778,0.3
upv_5,2010,128779,0.3
upv_5,2010,129464,0.3
upv_5,2010,129465,0.3
upv_2,2010,129750,0.5
upv_2,2010,131118,0.5
upv_5,2010,132181,0.4
upv_5,2010,132182,0.4
upv_5,2010,133548,0.8
upv_5,2010,136992,0.9
upv_3,2010,137305,1.0
upv_5,2010,139727,0.9
upv_5,2010,141129,3.0
upv_5,2010,143145,0.9
upv_5,2010,144511,0.9
upv_5,2010,145942,3.7
upv_5,2010,146580,21.0
upv_5,2010,147930,0.5
upv_5,2010,147968,0.2
upv_5,2010,148615,0.5
upv_5,2010,149313,0.9
upv_5,2010,149314,0.9
upv_5,2010,158237,3.0
upv_4,2010,191310,25.0
upv_2,2011,52863,0.4
upv_1,2011,100277,9.0
upv_2,2011,100371,3.0
upv_4,2011,102071,1.2
upv_1,2011,102418,0.9
upv_4,2011,103446,0.9
upv_4,2011,104125,1.4
upv_4,2011,105495,0.9
upv_4,2011,105496,2.0
upv_4,2011,105504,3.0
upv_4,2011,106864,0.9
upv_4,2011,106865,1.0
upv_4,2011,106873,1.0
upv_2,2011,107897,2.3
upv_4,2011,110291,0.7
upv_4,2011,110975,1.1
upv_4,2011,111098,1.9
upv_4,2011,111099,1.5
upv_3,2011,111758,0.4
upv_4,2011,112441,0.9
upv_4,2011,114398,1.0
upv_4,2011,117132,1.0
upv_4,2011,117823,0.5
upv_4,2011,118507,0.5
upv_4,2011,119988,1.5
upv_4,2011,120561,0.5
upv_4,2011,121246,0.5
upv_5,2011,126061,1.56
upv_4,2011,126136,0.1
upv_5,2011,126743,5.28
upv_5,2011,126819,5.4
upv_5,2011,127426,3.16
upv_5,2011,128778,0.3
upv_5,2011,128779,0.3
upv_5,2011,129464,0.3
upv_5,2011,129465,0.3
upv_2,2011,129750,0.5
upv_2,2011,131118,0.5
upv_5,2011,132181,0.4
upv_5,2011,132182,0.4
upv_5,2011,133548,0.8
upv_5,2011,136992,0.9
upv_3,2011,137305,1.0
upv_5,2011,139727,0.9
upv_5,2011,141129,3.0
upv_5,2011,143145,0.9
upv_5,2011,144511,0.9
upv_5,2011,145942,3.7
upv_5,2011,146580,21.0
upv_5,2011,147930,0.5
upv_5,2011,147968,0.2
upv_5,2011,148615,0.5
upv_5,2011,149313,0.9
upv_5,2011,149314,0.9
upv_5,2011,158237,3.0
upv_4,2011,191310,25.0
upv_2,2012,52863,0.4
upv_1,2012,100277,9.0
upv_2,2012,100371,3.0
upv_4,2012,102071,1.2
upv_1,2012,102418,0.9
upv_4,2012,103446,0.9
upv_4,2012,104125,1.4
upv_4,2012,105495,0.9
upv_4,2012,105496,2.0
upv_4,2012,105504,3.0
upv_4,2012,106864,0.9
upv_4,2012,106865,1.0
upv_4,2012,106873,1.0
upv_2,2012,107897,2.3
upv_4,2012,110291,0.7
upv_4,2012,110975,1.1
upv_4,2012,111098,1.9
